GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Kwetter application - backend,com.fontys.kwetter.api.filters,JWTTokenNeededFilter,62,0,0,0,15,0,3,0,3,0
Kwetter application - backend,com.fontys.kwetter.api.filters,CORSFilter,56,0,2,0,15,0,5,0,4,0
Kwetter application - backend,com.fontys.kwetter.domain,Kweet,74,0,0,0,20,0,11,0,11,0
Kwetter application - backend,com.fontys.kwetter.domain,Group,26,0,0,0,11,0,6,0,6,0
Kwetter application - backend,com.fontys.kwetter.domain,Role,0,51,0,0,0,5,0,2,0,2
Kwetter application - backend,com.fontys.kwetter.domain,Kweet.KweetComparator,9,0,0,0,2,0,2,0,2,0
Kwetter application - backend,com.fontys.kwetter.domain,User,250,141,10,8,46,43,30,18,23,16
Kwetter application - backend,com.fontys.kwetter.beans,RegisterView,165,0,12,0,43,0,18,0,12,0
Kwetter application - backend,com.fontys.kwetter.beans,AdminView,52,0,0,0,19,0,7,0,7,0
Kwetter application - backend,com.fontys.kwetter.beans,LoginView,131,0,6,0,38,0,12,0,9,0
Kwetter application - backend,com.fontys.kwetter.utils,SessionUtils,36,0,2,0,12,0,6,0,5,0
Kwetter application - backend,com.fontys.kwetter.utils,AuthenticationUtils,18,0,0,0,5,0,2,0,2,0
Kwetter application - backend,com.fontys.kwetter.security,HashedPassword,28,0,0,0,7,0,4,0,4,0
Kwetter application - backend,com.fontys.kwetter.security,JWTGenerator,31,0,0,0,11,0,2,0,2,0
Kwetter application - backend,com.fontys.kwetter.security,PasswordEncrypt,96,0,6,0,22,0,8,0,5,0
Kwetter application - backend,com.fontys.kwetter.controllers,AuthorisationController,104,0,2,0,23,0,4,0,3,0
Kwetter application - backend,com.fontys.kwetter.controllers,FriendshipController,73,0,0,0,18,0,4,0,4,0
Kwetter application - backend,com.fontys.kwetter.controllers,JaxRSApplication,3,0,0,0,1,0,1,0,1,0
Kwetter application - backend,com.fontys.kwetter.controllers,KweetController,106,0,0,0,25,0,5,0,5,0
Kwetter application - backend,com.fontys.kwetter.controllers,UserController,402,0,8,0,78,0,15,0,11,0
Kwetter application - backend,com.fontys.kwetter.dto,KweetDTO,28,0,0,0,12,0,8,0,8,0
Kwetter application - backend,com.fontys.kwetter.dto,UserDTO,151,0,6,0,48,0,27,0,24,0
Kwetter application - backend,com.fontys.kwetter.dao.jpa,KweetDAOJPAImpl,66,0,0,0,16,0,7,0,7,0
Kwetter application - backend,com.fontys.kwetter.dao.jpa,UserDAOJPAImpl,218,0,4,0,57,0,17,0,15,0
Kwetter application - backend,com.fontys.kwetter.exceptions,FollowException,0,4,0,0,0,2,0,1,0,1
Kwetter application - backend,com.fontys.kwetter.dao.jaas,UserJAASDAO,87,0,0,0,25,0,6,0,6,0
Kwetter application - backend,com.fontys.kwetter.dao.memory,KweetDAOMemoryImpl,102,0,12,0,24,0,13,0,7,0
Kwetter application - backend,com.fontys.kwetter.dao.memory,UserDAOMemoryImpl,297,0,40,0,66,0,36,0,16,0
Kwetter application - backend,com.fontys.kwetter.domain.api,Credentials,26,0,0,0,11,0,6,0,6,0
Kwetter application - backend,com.fontys.kwetter.domain.api,Friendship,47,0,0,0,13,0,7,0,7,0
Kwetter application - backend,com.fontys.kwetter.services,UserService,122,0,4,0,27,0,14,0,12,0
Kwetter application - backend,com.fontys.kwetter.services,FriendshipService,45,0,0,0,11,0,3,0,3,0
Kwetter application - backend,com.fontys.kwetter.services,KweetService,17,0,0,0,5,0,4,0,4,0
Kwetter application - backend,com.fontys.kwetter.validation,EmailValidator,29,0,2,0,7,0,3,0,2,0
